Time,T1,T2,T3,T4,T5,T6,T7,T8,Disp,Speed
1,2686,2734,2799,2751,2550,2815,2663,2621,8085,0
2,2692,2734,2803,2751,2556,2820,2663,2621,8090,0
3,2680,2728,2792,2746,2546,2815,2657,2627,8089,0
4,2686,2734,2792,2751,2550,2820,2669,2640,8095,0
5,2692,2740,2799,2757,2562,2820,2669,2634,8081,0
6,2698,2746,2803,2763,2562,2826,2675,2634,8084,0
7,2698,2746,2803,2769,2562,2826,2675,2627,8088,0
8,2702,2746,2809,2769,2569,2832,2680,2646,8097,0
9,2702,2746,2803,2769,2569,2832,2680,2646,8092,0
10,2698,2746,2803,2763,2562,2826,2675,2627,8087,0
11,2692,2740,2799,2757,2556,2820,2669,2621,8092,0
12,2686,2728,2786,2751,2550,2820,2663,2627,8091,0
13,2686,2734,2792,2751,2550,2820,2669,2627,8095,0
14,2686,2721,2780,2746,2546,2815,2663,2634,8095,0
15,2692,2728,2786,2757,2550,2826,2669,2634,8093,0
16,2692,2734,2786,2751,2550,2826,2675,2640,8095,0
17,2692,2721,2780,2746,2546,2820,2669,2621,8092,0
18,2686,2728,2780,2751,2550,2826,2669,2640,8094,0
19,2686,2728,2786,2751,2546,2826,2680,2634,8093,0
20,2686,2721,2774,2740,2546,2820,2675,2627,8093,0
21,2692,2721,2780,2746,2546,2826,2675,2627,8087,0
22,2692,2728,2780,2751,2550,2832,2680,2640,8095,0
23,2692,2728,2786,2751,2550,2832,2686,2640,8084,0
24,2692,2728,2786,2751,2550,2832,2686,2640,8095,0
25,2692,2728,2786,2751,2550,2832,2686,2650,8087,0
26,2698,2740,2815,2757,2556,2836,2692,2634,8108,5000
27,2709,2746,2909,2769,2562,2836,2692,2692,8108,5000
28,2702,2746,2999,2769,2562,2843,2692,2650,8115,5000
29,2702,2751,3060,2769,2550,2836,2686,2646,8106,5000
30,2702,2746,3121,2769,2550,2836,2680,2634,8109,5000
31,2698,2746,3181,2763,2546,2836,2675,2627,8104,5000
32,2702,2757,3240,2774,2546,2836,2675,2627,8115,5000
33,2702,2757,3298,2774,2539,2836,2675,2621,8103,5000
34,2715,2769,3357,2786,2546,2843,2680,2627,8105,5000
35,2715,2774,3403,2799,2546,2849,2686,2634,8108,5000
36,2715,2774,3457,2799,2546,2849,2675,2621,8098,5000
37,2721,2780,3499,2809,2539,2849,2680,2627,8100,5000
38,2721,2792,3545,2820,2546,2853,2680,2640,8106,5000
39,2728,2792,3587,2832,2546,2853,2680,2640,8089,5000
40,2734,2809,3626,2843,2539,2859,2680,2634,8091,5000
41,2734,2815,3670,2853,2539,2863,2680,2640,8077,5000
42,2746,2815,3704,2863,2546,2863,2680,2634,8082,5000
43,2751,2826,3739,2882,2546,2870,2680,2634,8074,5000
44,2757,2832,3775,2886,2546,2876,2680,2627,8077,5000
45,2763,2832,3810,2899,2546,2876,2686,2646,8075,5000
46,2763,2836,3846,2916,2539,2882,2686,2640,8070,5000
47,2769,2836,3875,2924,2546,2886,2686,2646,8066,5000
48,2780,2843,3902,2941,2546,2886,2686,2646,8059,5000
49,2786,2853,3934,2955,2539,2893,2686,2634,8065,5000
50,2786,2853,3963,2974,2546,2899,2686,2646,8053,5000
51,2799,2859,3980,2978,2539,2899,2686,2646,8048,5000
52,2803,2863,4009,2999,2539,2905,2686,2650,8053,5000
53,2803,2870,4028,3010,2546,2905,2686,2640,8036,5000
54,2815,2876,4063,3024,2546,2916,2692,2640,8032,5000
55,2820,2882,4086,3043,2546,2916,2686,2657,8037,5000
56,2826,2886,4099,3060,2546,2924,2686,2646,8032,5000
57,2836,2899,4120,3070,2539,2916,2686,2650,8031,5000
58,2836,2899,4143,3081,2546,2924,2686,2646,8015,5000
59,2843,2893,4160,3087,2539,2930,2686,2646,8023,5000
60,2853,2909,4176,3110,2546,2941,2692,2650,8024,5000
61,2863,2909,4193,3116,2546,2941,2692,2646,8016,5000
62,2863,2916,4203,3127,2546,2949,2692,2650,8004,5000
63,2870,2924,4222,3139,2539,2949,2686,2650,8000,5000
64,2876,2916,4233,3146,2539,2955,2686,2650,8003,5000
65,2886,2930,4262,3162,2546,2966,2692,2650,8006,5000
66,2886,2935,4262,3169,2539,2966,2692,2646,7997,5000
67,2905,2935,4293,3181,2546,2978,2692,2663,7991,5000
68,2905,2935,4293,3187,2533,2974,2692,2650,7992,5000
69,2916,2941,4310,3198,2546,2978,2698,2650,7988,5000
70,2924,2941,4321,3210,2546,2991,2692,2657,7991,5000
71,2930,2949,4333,3227,2546,2991,2692,2657,7982,5000
72,2930,2955,4339,3227,2539,2991,2692,2657,7978,5000
73,2949,2960,4362,3246,2546,3004,2698,2657,7978,5000
74,2955,2960,4362,3256,2546,3010,2698,2669,7971,5000
75,2949,2960,4375,3256,2539,3010,2686,2657,7965,5000
76,2966,2974,4381,3275,2539,3020,2692,2669,7963,5000
77,2974,2966,4392,3286,2546,3024,2698,2657,7963,5000
78,2978,2974,4404,3292,2546,3031,2698,2657,7956,5000
79,2978,2974,4404,3292,2533,3024,2692,2646,7948,5000
80,2985,2974,4415,3302,2539,3024,2686,2650,7954,5000
81,2999,2978,4427,3315,2539,3037,2698,2663,7935,5000
82,3004,2978,4433,3328,2539,3043,2692,2657,7948,5000
83,3010,2985,4446,3334,2539,3047,2692,2657,7943,5000
84,3014,2991,4450,3340,2539,3047,2698,2650,7934,5000
85,3020,2985,4463,3346,2539,3054,2692,2650,7941,5000
86,3024,2991,4463,3351,2539,3060,2692,2646,7934,5000
87,3024,2991,4479,3357,2539,3064,2698,2650,7935,5000
88,3031,3004,4486,3363,2539,3075,2698,2650,7932,5000
89,3043,2999,4492,3369,2539,3075,2692,2650,7925,5000
90,3047,3004,4498,3386,2546,3087,2702,2669,7923,5000
91,3054,3014,4509,3392,2539,3087,2698,2663,7921,5000
92,3064,3014,4504,3392,2539,3093,2698,2657,7919,5000
93,3064,3010,4509,3403,2539,3098,2698,2657,7915,5000
94,3070,3020,4521,3409,2539,3110,2686,2657,7913,5000
95,3081,3014,4525,3409,2539,3104,2698,2657,7897,5000
96,3087,3014,4525,3415,2539,3110,2698,2657,7912,5000
97,3093,3020,4536,3422,2539,3121,2698,2650,7912,5000
98,3098,3014,4532,3428,2539,3127,2698,2657,7906,5000
99,3098,3020,4536,3434,2539,3127,2698,2663,7898,5000
100,3104,3024,4542,3440,2539,3127,2702,2657,7898,5000
101,3110,3014,4542,3440,2539,3133,2698,2663,7899,5000
102,3121,3031,4553,3451,2546,3146,2702,2657,7894,5000
103,3116,3020,4548,3451,2539,3146,2698,2646,7891,5000
104,3127,3024,4548,3451,2539,3146,2698,2657,7890,5000
105,3127,3024,4542,3463,2539,3156,2698,2657,7895,5000
106,3133,3024,4553,3463,2539,3150,2698,2657,7880,5000
107,3139,3031,4553,3463,2539,3156,2698,2657,7881,5000
108,3139,3031,4553,3468,2539,3162,2698,2657,7887,5000
109,3146,3024,4553,3480,2539,3169,2698,2663,7880,5000
110,3156,3037,4559,3486,2539,3187,2702,2657,7874,5000
111,3156,3031,4553,3480,2533,3175,2686,2650,7885,5000
112,3162,3037,4565,3493,2539,3181,2702,2657,7873,5000
113,3175,3031,4565,3499,2539,3187,2702,2663,7873,5000
114,3175,3037,4571,3503,2546,3192,2702,2650,7878,5000
115,3175,3031,4571,3499,2539,3198,2698,2650,7878,5000
116,3187,3037,4571,3509,2546,3198,2702,2663,7877,5000
117,3187,3037,4571,3503,2539,3198,2698,2657,7874,5000
118,3187,3037,4571,3503,2539,3204,2698,2669,7859,5000
119,3198,3047,4582,3516,2539,3221,2692,2657,7873,5000
120,3210,3054,4586,3528,2550,3221,2698,2663,7865,5000
121,3210,3060,4586,3528,2550,3221,2698,2657,7868,5000
122,3210,3060,4586,3528,2550,3227,2698,2663,7863,5000
123,3210,3047,4576,3522,2546,3215,2686,2650,7863,5000
124,3215,3047,4582,3528,2546,3221,2692,2650,7852,5000
125,3215,3060,4586,3528,2539,3221,2692,2657,7863,5000
126,3221,3054,4586,3532,2539,3227,2692,2663,7860,5000
127,3221,3047,4586,3528,2546,3227,2692,2646,7859,5000
